FID,region,cut,region_1,ine,comuna,provincia,shape_leng,cont,shape_le_1,shape_area,Shape__Area,Shape__Length
3133,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,26883.1400618,0,26882.4597676,15009688.2333,42107899.9492188,45022.4726885894
3134,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,576.877272339,0,576.865882028,22298.9438139,62555.78125,966.17483050186
3135,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,10552.276105,0,10552.0103863,2681762.64282,7533819.17578125,17680.866244506
3136,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,21789.3769052,0,21788.8241254,8256618.2874,23199977.0976563,36513.2927428874
3137,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,828.214118395,0,828.193605669,48116.6626614,135040.9609375,1387.25371919927
3138,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,2176.79967189,0,2176.74400813,252724.395496,709423.140625,3646.95818624125
3139,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,945.268451393,0,945.248202434,46814.8278144,131570.3515625,1583.84749654362
3140,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,12908.788115,0,12908.4597198,8592870.85511,24162303.9101563,21646.1480518902
3141,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,946.730873327,0,946.706622826,48825.967859,136943.08203125,1584.66886871853
3142,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,1479.50052789,0,1479.46339389,141760.421383,397971.92578125,2478.38198558985
3143,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,1031.46230832,0,1031.43607247,55854.0272358,156731.80859375,1727.6105656621
3144,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,566.691800167,0,566.677883869,17255.4322845,48434.4609375,948.770337723436
3145,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,1049.39694724,0,1049.37019866,58267.9264024,163577.0078125,1759.48239497016
3146,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,1151.76488,0,1151.73595913,89098.9744037,250490.17578125,1931.32416538256
3147,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,1109.76584778,0,1109.73857695,71345.5846406,200592.0625,1861.74324495322
3148,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,1159.99084287,0,1159.96273557,69393.0467458,194824.828125,1944.55307169895
3149,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,11140.2379003,0,11139.9579404,3285626.91226,9238977.5625,18677.9898063766
3150,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,809.618781842,0,809.601751249,34280.6744819,96668.88671875,1360.08002148201
